Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Training Time (s),Inference Time (s)
Gaussian Naive Bayes,0.92045,0.6735324404266084,0.6999522216913521,0.36451853694948994,0.4793848167539267,0.8863741285479392,0.5763759071962745,4.975686899997527,0.4121270000177901
HistGradientBoosting,0.910275,0.5629999982227771,0.8571428571428571,0.12839014680268723,0.22332828392122916,0.8775620975320675,0.5461668962769544,20.406096199993044,0.8344329999818001
Logistic Regression,0.7759,0.7743150138838792,0.27831076840312025,0.772331425727793,0.4091747956762457,0.8542871307096025,0.49319497836243187,4.504933599993819,0.18930629998794757
Random Forest,0.899525,0.5,0.0,0.0,0.0,0.8175990481388055,0.3636715042894956,130.61497679998865,1.0088665000221226
