threshold,precision,recall,f1,balanced_accuracy
0.05,0.21297962500725606,0.9129136601144563,0.3453826602654617,0.7680518385339241
0.060000000000000005,0.23213708373747172,0.8932570291117193,0.36850749332785876,0.7816108663526413
0.07,0.2502140410958904,0.8726051256531475,0.38891045189908513,0.790267155250353
0.08000000000000002,0.2684342641983056,0.8514555859666584,0.40818273990576726,0.7961316172239006
0.09000000000000001,0.2852289136159008,0.8355312266733018,0.42527862208713274,0.8008288967362229
0.1,0.30120592838074195,0.814132868872854,0.43972584330063164,0.8015802055934265
0.11000000000000001,0.3170441001191895,0.7942274197561583,0.45318378646979485,0.8015632804847883
0.12000000000000001,0.33205619412515963,0.7763125155511321,0.4651509504286247,0.8009435621862273
0.13,0.34792047531992687,0.7576511570042299,0.4768616396523373,0.7995198338035241
0.14,0.36260242142595084,0.7377457078875342,0.48622499180059037,0.7964457396334367
0.15000000000000002,0.37911151880487487,0.7198308036825081,0.4966523605150215,0.7940750972360457
0.16000000000000003,0.3911899155007619,0.702662353819358,0.5025805303434775,0.79025727679573
0.17000000000000004,0.4070848708487085,0.686240358298084,0.5110246433203631,0.7872990513315827
0.18000000000000005,0.4180669030368429,0.674794725055984,0.5162764134780126,0.7849391206781269
0.19,0.4329407916257769,0.6586215476486689,0.522451396427514,0.781132568660498
0.2,0.4445962096636503,0.6479223687484449,0.5273390036452005,0.7787567709337955
0.21000000000000002,0.4597285067873303,0.6319980094550883,0.5322715842414082,0.7745187790528825
0.22000000000000003,0.46679245283018866,0.6155760139338143,0.5309582573237471,0.7685172807502929
0.23000000000000004,0.47814858959078266,0.5989052002985817,0.531757428476748,0.7629472223109873
0.24000000000000005,0.4858441826823724,0.5849713859168948,0.5308195981034094,0.7579118901180595
0.25000000000000006,0.4997822299651568,0.5710375715352077,0.5330391359888514,0.7535991615214739
0.26000000000000006,0.5108942351339083,0.5600895745210251,0.5343620178041543,0.750098426681318
0.27,0.5229445506692161,0.5444140333416273,0.5334633670608314,0.7444701555496664
0.28,0.5326683291770573,0.5314754914157751,0.532071241748661,0.7396962237935438
0.29000000000000004,0.543694400837258,0.5170440408061707,0.5300344343833695,0.734287007479598
0.30000000000000004,0.5540503928474668,0.5088330430455337,0.5304798962386511,0.7315433384539249
0.31000000000000005,0.5643200452360758,0.4966409554615576,0.5283218634197988,0.7269063980776285
0.32000000000000006,0.5739156093242844,0.4839512316496641,0.5251079913606912,0.7219094698033207
0.33,0.5847899417356639,0.4744961433192336,0.5239010989010989,0.7184325857086983
0.34,0.590880303989867,0.46429460064692707,0.5199944266406576,0.7141933801989534
0.35000000000000003,0.6012491781722551,0.4550883304304553,0.5180569324458292,0.7106880467082378
0.36000000000000004,0.6064516129032258,0.4443891515302314,0.5129236071223435,0.7060888533004817
0.37000000000000005,0.616361071932299,0.43493406319980094,0.5099927060539752,0.702347940968734
0.38000000000000006,0.6275229357798165,0.4254789748693705,0.5071174377224199,0.6986348210829996
0.39000000000000007,0.637266132111493,0.4152774321970639,0.5028623079240735,0.6944373042422745
0.4000000000000001,0.645135880267822,0.40756407066434436,0.49954254345837146,0.6912615384032375
0.4100000000000001,0.6524764633647155,0.3966160736501617,0.4933457134014237,0.6865101434924887
0.42000000000000004,0.6603134265141889,0.38790743966160735,0.48871473354231976,0.682808948979521
0.43000000000000005,0.6693017127799736,0.379198805673053,0.4841168996188056,0.6791355469125666
0.44000000000000006,0.6759725400457666,0.3675043543169943,0.4761444229529336,0.6739136512698337
0.45000000000000007,0.6827880512091038,0.3582980841005225,0.4699738903394256,0.6698524688588546
0.4600000000000001,0.6903827281648676,0.35008708633988556,0.4645864289252105,0.6662750264527865
0.4700000000000001,0.6994338651569737,0.3381438168698681,0.4558872861455887,0.6609565141990874
0.4800000000000001,0.7049092849519744,0.32868872853943765,0.44832852536908196,0.6566597529470763
0.49000000000000005,0.715,0.320228912664842,0.44234404536862004,0.652985693930042
0.5000000000000001,0.7213302752293578,0.3130131873600398,0.4365781710914454,0.6497530292988187
0.5100000000000001,0.7281899109792285,0.30529982582732024,0.43022440392706873,0.6462854427766433
0.5200000000000001,0.7406483790523691,0.29559591938293106,0.4225502400853637,0.6420171309207254
0.5300000000000001,0.7440051847051199,0.2856431948245832,0.4128011506652283,0.6373325893246898
0.5400000000000001,0.7479892761394102,0.27768101517790494,0.4050081654872074,0.6336155277384758
0.5500000000000002,0.753319357092942,0.2682259268474745,0.39559633027522934,0.6292075967024121
0.5600000000000002,0.7646209386281588,0.2634983826822593,0.39193190229459657,0.6272190226409824
0.5700000000000002,0.7725190839694657,0.25180393132620055,0.37980859448301746,0.6217608912071374
0.5800000000000002,0.7806603773584906,0.24707638716098532,0.3753543753543754,0.6196611473616549
0.5900000000000002,0.7872516556291391,0.23662602637472008,0.3638798546011096,0.6147416838746672
0.6000000000000002,0.7933104631217839,0.23015675541179398,0.35679845708775315,0.6117293879613096
0.6100000000000001,0.8034265103697025,0.2216969395371983,0.34750390015600624,0.6078190931531633
0.6200000000000001,0.8059701492537313,0.2149788504603135,0.33942251031231585,0.6045990108447867
