Model,ROC-AUC,PR-AUC,Brier Score,Log Loss
Uncalibrated,0.8772870083301755,0.5450478518767256,0.06700033440796231,0.23208804747868012
Sigmoid,0.8834275898799508,0.5625743455529287,0.06226181668742531,0.21620877264352859
Isotonic,0.8834640540670192,0.5623490165637309,0.06222101963256427,0.21608270700881912
