feature,mean_abs_shap
var_22,0.0025550929612802235
var_166,0.002429680998951022
var_110,0.002362375922522023
var_26,0.002334926790462525
var_21,0.0023177134132420533
var_12,0.0022899753827187452
var_139,0.0020504565412877073
var_148,0.001953250620889811
var_81,0.001919681190567691
var_6,0.0018325356700522736
var_33,0.0017669356611151978
var_133,0.0017061912012274897
var_13,0.0016220424465448512
var_94,0.0016202960477215112
var_72,0.0015670164834949052
var_99,0.001528747258659583
var_44,0.0015228299593750894
var_92,0.0014795479493339824
var_76,0.00147866518054238
var_146,0.0014763178077348007
var_177,0.0014694079392552168
var_80,0.0013962830961339677
var_66,0.001396140779951854
var_53,0.0013368960926659812
var_174,0.001331795912418667
var_109,0.0012961629896464464
var_169,0.001251188661254593
var_112,0.0012260945010273733
var_75,0.0012218621466221183
var_165,0.0012183449318664988
var_190,0.0012135043968542194
var_1,0.001210101467161489
var_179,0.0011960801223703525
var_199,0.0011745575044707322
var_2,0.001126797342684162
var_164,0.0010851650641450921
var_183,0.001082787803948205
var_191,0.0010595612928314033
var_144,0.0010521317695655105
var_175,0.001015518164152937
var_141,0.0009927653273167818
var_167,0.0009772923631033016
var_180,0.0009677299150142196
var_5,0.0009555752333072482
var_89,0.0009182379824148571
var_78,0.0009157896474657235
var_49,0.0009030915773789684
var_198,0.0009016760570773195
var_106,0.0008992054416862494
var_151,0.0008568369274929784
var_70,0.0008505232962770801
var_86,0.0008086090629961145
var_132,0.0008009762620189437
var_197,0.0007895104321853796
var_51,0.0007722108669015424
var_107,0.0007534348115970591
var_145,0.0007450364388805836
var_124,0.0007191644411806386
var_40,0.0007013663481600112
var_54,0.0007006737610987439
var_83,0.0006993247547134217
var_152,0.0006975738020244973
var_170,0.0006876489937626025
var_43,0.0006708366341488547
var_115,0.0006686415692909321
var_181,0.0006685158843581729
var_193,0.0006523866079184115
var_34,0.0006502499812033617
var_100,0.0006492048830643175
var_90,0.0006420744056253755
var_129,0.0006351966712372009
var_118,0.0006246124338914288
var_103,0.0006137229154715855
var_50,0.0006070855244395747
var_88,0.0005996314055799233
var_87,0.0005913393215456523
var_155,0.0005910102920003733
var_9,0.0005838175396618316
var_130,0.0005802791409767233
var_149,0.0005747670567205409
var_57,0.0005742866729377002
var_30,0.0005702232159386346
var_79,0.0005592305549559455
var_52,0.0005383450399133577
var_121,0.0005313868341741637
var_117,0.0005196172942632574
var_108,0.0005146706230120676
var_126,0.0005136210440545184
var_188,0.0004970225419884503
var_119,0.0004952988160338768
var_67,0.0004821038915340043
var_4,0.0004811791905718816
var_158,0.0004807497550535491
var_168,0.00048042979376044853
var_0,0.00047548554344774995
var_196,0.00047432658497201854
var_37,0.0004675773227684055
var_123,0.000463760642866161
var_185,0.00044481207470823547
var_84,0.00044243510507145824
var_150,0.00044008667149029285
var_95,0.00043953639520881416
var_47,0.0004314905084929441
var_73,0.0004313173142972121
var_63,0.0004282541392113879
var_111,0.00042698699775063105
var_74,0.0004264183762798716
var_82,0.0004197705792401051
var_36,0.00041274663937147847
var_96,0.0004104775724435537
var_172,0.0004079104340395421
var_61,0.00040711491456714205
var_42,0.0004060391067757803
var_104,0.0003819160585247211
var_143,0.00037760302435662355
var_85,0.00037640261969635447
var_20,0.0003746158593317122
var_8,0.0003550895112920881
var_153,0.0003528035913941043
var_28,0.0003512843417233239
var_156,0.00033771633395885005
var_41,0.0003337273954305359
var_162,0.00033331141453785286
var_154,0.0003231498876041658
var_7,0.0003187219994308353
var_55,0.0003108869066422277
var_101,0.0003039857666408831
var_134,0.00030149375566576543
var_68,0.00029297427629788235
var_173,0.00029256967013740077
var_194,0.00028557854352263503
var_62,0.0002808240462049523
var_140,0.00027951317879498235
var_127,0.0002784714665771267
var_178,0.00027751422405718944
var_11,0.0002751422947288317
var_39,0.0002748049628964095
var_77,0.0002665850263503463
var_182,0.0002602297013514677
var_184,0.00025548925069407224
var_24,0.00025333003257358436
var_105,0.0002486873665819499
var_120,0.0002482925220460724
var_19,0.00023870514778710785
var_125,0.00023866722824182507
var_91,0.00023763973582398943
var_131,0.00023349587077877234
var_35,0.0002302946284105297
var_27,0.0002186080684559745
var_10,0.0002159335936194178
var_137,0.00021300533967345898
var_58,0.000206430973115063
var_157,0.0002027065638652897
var_15,0.00020206591166457632
var_31,0.00020192073031402108
var_56,0.0001995245149940621
var_138,0.0001956383894816804
var_128,0.00019382331576351514
var_195,0.00019370671071749647
var_71,0.0001899652782984513
var_160,0.00018973665505604375
var_135,0.0001868338746789721
var_14,0.00018541393602779682
var_147,0.00018411714942381406
var_189,0.00017962385655726783
var_64,0.00017486806052878932
var_25,0.00015589437346804215
var_98,0.0001546677499454672
var_192,0.00015234620002225048
var_176,0.0001458557152674017
var_16,0.00014349788780666583
var_142,0.00013791809581767387
var_23,0.00013548636685778315
var_17,0.0001345884054259032
var_29,0.00013263101475738154
var_122,0.0001279280131930016
var_93,0.0001254784744017483
var_102,0.00011274979620361195
var_163,0.00010839865138037881
var_48,0.00010381214923936323
var_116,9.553355767059091e-05
var_59,9.019829686000933e-05
var_32,8.804665315489133e-05
var_3,8.301468408637133e-05
var_136,7.926207807668798e-05
var_38,7.923451435568961e-05
var_46,7.579177209426441e-05
var_186,6.811601738247714e-05
var_18,6.391644015449358e-05
var_114,5.286453936839914e-05
var_161,4.742453629292861e-05
var_159,4.6876145525420466e-05
var_97,4.491494941785706e-05
var_187,4.4256232578079616e-05
var_69,3.746164107228515e-05
var_65,1.3301270075212911e-05
var_113,8.600455001610134e-06
var_45,0.0
var_60,0.0
var_171,0.0
